nom,km,altitude_m,lat,lon,type
Chamonix,0.0,1035,45.92359,6.86918,depart
Col de Voza,14.5,1663,45.8773,6.76004,col
Saint-Gervais,22.9,809,45.89292,6.71139,ravito
Les Contamines Montjoie,32.4,1147,45.82212,6.72619,ravito
La Balme,41.1,1706,45.75761,6.7109,ravito
Refuge de la Croix du Bonhomme,46.9,2448,45.72219,6.71757,col
Les Chapieux,52.2,1546,45.69567,6.73354,ravito
Col de la Seigne,62.9,2511,45.75144,6.80689,col
Lac Combal,67.8,1965,45.77047,6.85566,ravito
Arête du Mont-Favre,71.8,2410,45.77229,6.88999,col
Checrouit - Maison Vieille,76.4,1961,45.79056,6.93091,col
Courmayeur Sport Center Sortie,81.3,1194,45.79472,6.96427,ravito
Refuge Bertone,86.6,1979,45.80914,6.97861,ravito
Refuge Bonatti,94.2,2025,45.84678,7.03323,ravito
Arnouvaz,99.4,1779,45.87111,7.05389,ravito
Grand Col Ferret,104.0,2527,45.88896,7.07786,col
La Fouly,114.0,1604,45.93559,7.09843,ravito
Champex-Lac sortie,127.5,1472,46.02556,7.12248,ravito
Plan de l'Au,132.4,1340,46.04986,7.07962,ravito
La Giète,138.9,1885,46.05502,7.03367,col
Trient,144.0,1303,46.05583,6.99486,ravito
Les Tseppes,148.0,1936,46.04741,6.97968,col
Vallorcine Sortie,155.3,1260,46.03249,6.93236,ravito
La Flégère,166.6,1883,45.96089,6.88718,ravito
Chamonix,173.6,1036,45.9236,6.86912,arrivee
